Name,Description,
Residential Factor,"Adopted by a community annually, this governs the percentage of the tax levy to be paid by property owners. A residential factor of ?1? will result in the taxation of all property at the same rate (single tax rate). Choosing a factor of less than one results in increasing the share of the levy raised by commercial, industrial and personal property. Residential property owners will therefore pay a proportionately lower share of the total levy. (See Minimum Residential Factor)",
Retained Earnings,(See Net Assets Unrestricted),
Revaluation,"The assessors of each community are responsible for developing a reasonable and realistic program to achieve the fair cash valuation of property in accordance with constitutional and statutory requirements. The nature and extent of that program will depend on the assessors? analysis and consideration of many factors, including, but not limited to, the status of the existing valuation system, the results of an in-depth sales ratio study, and the accuracy of existing property record information. Every three years, assessors must submit property values to the DOR for certification. Assessors must also maintain fair cash values in the years between certifications so that each taxpayer in the community pays his or her share of the cost of local government in proportion to the value of his property. (See Triennial Certification)",
Revenue Anticipation Borrowing,"Cities, towns and districts may issue temporary notes in anticipation of taxes (TANS) or other revenue (RANS). The amount of this type of borrowing is limited to the total of the prior year's tax levy, the net amount collected in motor vehicle and trailer excise in the prior year and payments made by the Commonwealth in lieu of taxes in the prior year. According to MGL Ch. 44 ?4, cities, towns and districts may borrow for up to one year in anticipation of such revenue.",
Revenue Anticipation Note (RAN),"A short-term loan issued to be paid off by revenues, such as tax collections and state aid. RANS are full faith and credit obligations. (See Tax Anticipation Notes, Bond Anticipation Notes)",
Revenue Bond,A bond payable from and secured solely by specific revenues and thereby not a full faith and credit obligation.,
Revenue Deficit,"The amount by which actual revenues at year-end fall short of projected revenues and are insufficient to fund the amount appropriated. In such a case and unless otherwise funded, the revenue deficit must be raised in the following year's tax rate.",
Revenues,All monies received by a governmental unit from any source.,
Revolving Fund,"Allows a community to raise revenues from a specific service and use those revenues without appropriation to support the service. For departmental revolving funds, MGL Ch. 44 ?53E« stipulates that each fund must be re- authorized each year at annual town meeting or by city council action, and that a limit on the total amount that may be spent from each fund must be established at that time. The aggregate of all revolving funds may not exceed ten percent of the amount raised by taxation by the city or town in the most recent fiscal year, and no more than one percent of the amount raised by taxation may be administered by a single fund. Wages or salaries for full-time employees may be paid from the revolving fund only if the fund is also charged for all associated fringe benefits.",
Roll-back Taxes,"Back taxes that become due when land which is valued, assessed and taxed under MGL Ch. 61, 61A or 61B, no longer qualifies as actively devoted to purposes specified in each chapter.",
Sale of Cemetery Lots Fund,"A fund established to account for proceeds of the sale of cemetery lots. The proceeds may only be appropriated to pay for the cost of the land, its care and improvement or the enlargement of the cemetery under provisions of MGL Ch. 114 ?15.",
Sale of Real Estate Fund,"A fund established to account for the proceeds of the sale of municipal real estate other than proceeds acquired through tax title foreclosure. MGL Ch. 44 ?63 states that such proceeds shall be applied first to the retirement of debt on the property sold. In the absence of such debt, funds may generally be used for purposes for which the city or town is authorized to borrow for a period of five years or more.",
Sales Comparison Approach,"A method of estimating the value of property by comparing verified data about similar properties that have recently sold or are offered for sale on the open market and adjusting for differences from the subject, or unsold, property.",
Schedule A,"A statement of revenues, expenditures and other financing sources, uses, changes in fund balance and certain balance sheet account information prepared annually by the accountant or auditor at the end of the fiscal year. This report is based on the fund account numbers and classifications contained in the UMAS manual.",
Security,"For Massachusetts? municipalities, bonds or notes evidencing a legal debt on the part of the issuer.",
Short-Term Debt,"Outstanding balance, at any given time, on amounts borrowed with a maturity date of 12 months or less. (See Note)",
Sick Leave Buyback,"A community's obligation, under collective bargaining agreements or personnel board policies, to compensate retiring employees for the value of all, or a percentage of, sick time earned, but not used.",
Single Audit Act,"For any community that expends $500,000 or more per year in federal grant awards, the Single Audit Act establishes audit guidelines that reduce to only one the number of annual audits to be completed to satisfy the requirements of the various federal agencies from which grants have been received.",
Small Commercial Exemption,"A property tax classification option where a community may exempt up to 10 percent of the value of a Class Three, Commercial parcel. The parcel must be occupied by small businesses and have an assessed valuation of less than $1 million. In effect, the option shifts the tax burden from parcels occupied by small businesses to those occupied by other commercial and industrial taxpayers. Eligible small businesses have an average annual employment of no more than ten persons. (See IGR 00-403)",
SOL,State Owned Land,
Special Assessment,(See Betterments),
Special Assessment Exemption,Full discharge from the payment of betterments and special exemptions granted only to government properties occupied for public purposes.,
Special Exclusion,"For a few limited capital purposes, a community may exceed its levy limit or levy ceiling without voter approval. Presently, there are two special expenditure exclusions: 1) water and sewer project debt service costs which reduce the water and sewer rates by the same amount; and 2) a program to assist homeowners to repair or replace faulty septic systems, remove underground fuel storage tanks, or remove dangerous levels of lead paint to meet public health and safety code requirements. In the second special exclusion, homeowners repay the municipality for the cost plus interest apportioned over a period of time, not to exceed 20 years (similar to betterments).",
Special Revenue Fund,"Funds, established by statute only, containing revenues that are earmarked for and restricted to expenditures for specific purposes. Special revenue funds include receipts reserved for appropriation, revolving funds, grants from governmental entities, and gifts from private individuals or organizations.",
Stabilization Fund,"A fund designed to accumulate amounts for capital and other future spending purposes, although it may be appropriated for any lawful purpose (MGL Ch. 40 ?5B). Communities may establish one or more stabilization funds for different purposes and may appropriate into them in any year an amount not to exceed ten percent of the prior year?s tax levy. The total of all stabilization fund balances shall not exceed ten percent of the community?s equalized value, and any interest shall be added to and become a part of the funds. A two-thirds vote of town meeting or city council is required to establish, amend the purpose of, or appropriate money into or from the stabilization fund. (See DOR IGR 04-201)",
State Aid Anticipation Note (SAAN),A short- term loan issued in anticipation of a state grant or aid (MGL Ch. 44 ?6A).,
State Ethics Commission,This state agency was established to foster integrity in government and promote public trust. The Commission enforces a Code of Ethics and the Financial Disclosure Law.,
State House Notes,"Debt instruments for cities, towns, counties and districts certified by the Director of Accounts. State House Notes, payable annually, are usually limited to maturities of five years and principal amounts of $2,250,000. The notes are attractive, more often to smaller communities, because certification fees are low, neither an official statement nor full disclosure is required, and they are issued in a short period of time.",
State Receivership,(See Finance Control Board),
STF,State Tax Form,
Supplemental Tax Assessments on New Construction (MGL Ch. 59 ?2D),"A community may make pro rata assessments on the value of improvements that are greater than 50 percent of the billed value when an occupancy permit is issued after January 1 (MGL Ch. 59 ?2D). This provision allows a community to issue a bill (back to the date of occupancy between January 1-June 30) for the current fiscal year on qualifying property improvements, resulting in additional general revenue. These improvements would be included in the subsequent year?s new growth calculation.",
Surcharge,"An additional sum added to a particular, already existing charge such as a tax, a fee, a fine or penalty.",
Surety Bond,A performance bond that protects the municipality against any financial loss arising from a breach of public trust by an employee who collects money on behalf of the community.,
Surplus Revenue,"The amount by which cash, accounts receivable, and other assets exceed liabilities and reserves.",
Sweep Account,"A municipal bank account from which the host financial institution electronically transfers all or part of the balance over a specified threshold to a temporary investment elsewhere for the benefit of a higher, overnight investment return. At the end of the overnight investment period, the funds are returned to the municipal account and are available for use. (See Overnight Repurchase Agreements)",
TA,Technical Assistance Section (See Municipal Data Management and Technical Assistance Bureau,
Tailings,"Unclaimed municipal funds, or a repository, referred to as a ""tailings account,"" for the retention, until eventual disposition, of unclaimed funds in the custody of a municipality. Tailings might include unclaimed tax refunds, vendor payments yet to clear, overages on the community's commitment, etc. (MGL Ch. 200A) (See Unclaimed Checks)",
Tax Anticipation Notes (TAN),A short-term note issued to provide cash to cover operating expenses in anticipation of tax proceeds.,
Tax Increment Financing Exemption (TIF),"In accordance with MGL Chapter 59 ?5(51), a property tax exemption negotiated between a community and a private developer, typically implemented over a period up to 20 years, and intended to encourage industrial/commercial development. (See DOR IGR 94-201)",
Tax Maps,"Used to determine the location of the property, indicate the size and shape of each parcel, and show its relation to features that affect value. Maps also provide a complete inventory of all land parcels, helping to minimize the problems of omitted parcels and duplication of listing. Also referred to as assessors' maps.",
Tax Possession,"Once a tax title has been foreclosed in Land Court, the municipal treasurer records the decree at the Registry of Deeds as a municipally owned property, hence becoming a tax possession. For a property issued a Land of Low Value affidavit, the municipality must hold an auction prior to it becoming a tax possession.",
Tax Rate,"The amount of property tax stated in terms of a unit of the municipal tax base; for example, $14.80 per $1,000 of assessed valuation of taxable real and personal property.",
Tax Rate Recapitulation Sheet (Recap Sheet),A document submitted by a city or town to the DOR in order to set a property tax rate. The recap sheet shows all estimated revenues and actual appropriations that affect the property tax rate. The recap sheet should be submitted to the DOR by September 1 (in order to issue the first-half semiannual property tax bills before October 1) or by December 1 (in order to issue the third quarterly property tax bills before January 1).,
Tax Title (or Tax Taking),"A collection procedure that secures a city or town's lien on real property and protects the municipality's right to payment of overdue property taxes. Otherwise, the lien expires if five years elapse from the January 1 assessment date and the property has been transferred to another owner. If amounts remain outstanding on the property after issuing a demand for overdue property taxes and after publishing a notice of tax taking, the collector may take the property for the city or town. After properly recording the instrument of taking, the collector transfers responsibility for collecting the overdue amounts to the treasurer. After six months, the treasurer may initiate foreclosure proceedings.",
Tax Title Foreclosure,The procedure initiated by a city or town treasurer in Land Court or through land of low value to obtain legal title to real property already in tax title and on which property taxes are over due. The treasurer must wait at least six months from the date of a tax taking to initiate Land Court foreclosure proceedings (MGL Ch. 60 ?65).,
Tax Title Redemption,"The act of a property owner to pay overdue taxes, plus any fees, charges, other costs and interest, on real property that the community had placed in tax title to secure its lien. The taxpayer's right to redeem terminates when the treasurer receives a Land Court Decree or Land of Low Value affidavit, records and holds an auction.",
Teachers' Pay Deferral,"Option available under the 1993 Education Reform Law allowing communities to defer further contributions to teachers retirement funds until 1997, after which the full obligation must be satisfied in no more than 15 years.",
Technical Assistance Section,"Part of MDM/TAB, the Technical Assistance Section completes financial management reviews for cities and towns, and is otherwise available to advise finance officers and administrators on sound financial management practices.",
Temporary Debt,Borrowing by a community in the form of notes and for a term of one year or less. (See Short-Term Debt),
Triennial Certification,"The Commissioner of Revenue, through the Bureau of Local Assessment, is required to review local assessed values every three years and to certify that they represent full and fair cash value (FFCV). Refer to MGL Ch. 40 ?56 and Ch. 59 ?2A(c).",
Trust Fund,"In general, a fund for money donated or transferred to a municipality with specific instructions on its use. As custodian of trust funds, the treasurer invests and expends such funds as stipulated by trust agreements, as directed by the commissioners of trust funds or by town meeting. Both principal and interest may be used if the trust is established as an expendable trust. For non- expendable trust funds, only interest (not principal) may be expended as directed.",
Turnover Sheet,"A form, completed by municipal departments, that accompanies the physical transfer of departmental revenues, or bank deposit slips reflecting revenues, to the treasurer.",
Unclaimed Checks,(See Tailings),
Uncollected Funds,"Recently deposited checks, included in an account's balance, but drawn on other banks and not yet credited by the Federal Reserve Bank or local clearinghouse to the bank cashing the checks. These funds may not be loaned or used as part of the bank's reserves, and they are not available for disbursement.",
Underride,"A vote by a community to permanently decrease the tax levy limit. As such, it is the exact opposite of an override. (See Override)",
Undesignated Fund Balance,"Monies in the various government funds as of June 30 that are neither encumbered nor reserved, and are therefore available for expenditure once certified as part of free cash. (See Designated Fund Balance)",
Unfunded Mandate,"A requirement imposed by law, regulation or order without underlying financial support, thereby resulting in direct or indirect costs to the body made responsible for its implementation.",
Unfunded OPEB Liability,"This is the difference between the value assigned to the benefits (other than retirement) already earned by a municipality?s employees and the assets the local government will have on hand to meet these obligations. While there is no requirement in Massachusetts to fund this liability, GASB 45 requires that the dollar value of the unfunded OBEB liability is determined every two years. (See GASB 45; OPEB)",
Unfunded Pension Liability,Unfunded pension liability is the difference between the value assigned to the retirement benefits already earned by a municipality?s employees and the assets the local retirement system will have on hand to meet these obligations. The dollar value of the unfunded pension liability is redetermined every three years and is driven by assumptions about interest rates at which a retirement system's assets will grow and the rate of future costs of living increases to pensioners. (See Pension Plan),
Uniform Municipal Accounting System (UMAS),"UMAS succeeds the so-called Statutory System (STAT) and is regarded as the professional standard for municipal accounting in Massachusetts. As a uniform system for local governments, it conforms to Generally Accepted Accounting Principles (GAAP), offers increased consistency in reporting and record keeping, as well as enhanced comparability of data among cities and towns.",
Uniform Procurement Act,"Enacted in 1990, MGL Ch. 30B establishes uniform procedures for local government to use when contracting for supplies, equipment, services and real estate. The act is implemented through the Office of the Inspector General. (See Massachusetts Certified Public Purchasing Official).",
Unreserved Fund Balance (Surplus Revenue Account),"The amount by which cash, accounts receivable, and other assets exceed liabilities and restricted reserves. It is akin to a ""stockholders? equity"" account on a corporate balance sheet. It is not, however, available for appropriation in full because a portion of the assets listed as ""accounts receivable"" may be taxes receivable and uncollected. (See Free Cash)",
User Charges/Fees,"A municipal funding source where payment is collected from the user of a service to help defray the cost of providing the service. Note that any increases in the fees must satisfy the three tests set forth in the so called Emerson case. (See Emerson College v. Boston, 391 Mass. 415 (1984))",
Valuation (100 percent),"The legal requirement that a community?s assessed value on property must reflect its market, or full and fair cash value.",
Voucher,A document or form authorizing the holder to redeem it for cash or credit in an amount certain.,
Warrant,"An authorization for an action. For example, a town meeting warrant establishes the matters that may be acted on by that town meeting. A treasury warrant authorizes the treasurer to pay specific bills. The assessors? warrant authorizes the tax collector to collect taxes in the amount and from the persons listed, respectively.",
Water Surplus,"For water departments operating under MGL Ch. 41 ?69B, any unspent water appropriations or revenues in excess of estimated water receipts close-out to a water surplus account. Water surplus may be appropriated to fund water- related general and capital expenses or to reduce water rates.",
Waterways Improvement Fund,An account into which fifty percent of boat excise tax and mooring fees imposed under MGL Chapter 91 ?10A receipts are deposited. Use of these proceeds is limited to certain waterway expenses as outlined in MGL Ch. 40 ?5G.,
Wire Transfer,The electronic authorization crediting money from one bank or financial institution account to another.,
Zero Based Budget,A budget building technique where each department begins at zero and adds the cost of essential programs up to an established funding limit. Each year the process begins again at zero prompting close scrutiny and prioritization of costs annually.,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
